city,state,pop2017,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,weather.avg,precip.avg,air.quality,results,rank.by.size,rank.by.score
Santa Maria,California,0.3279964892673207,0.522979077261758,-0.14030750200300304,-0.3719319354041094,-0.31525020900830575,1.1370589615702857,-1.3712532782589824,0.5209952074067536,0.4820275500974922,1.9786047903138242,1.8988605759696395,-0.6681428909956038,0.7449094665141097,0.6035734345863955,-0.8333104335270515,0.19820420326739993,4.7150135070579235,282,253
Overland Park,Kansas,0.1872059240344581,0.13926119119935965,0.5053262150097747,0.622551305096078,0.11665646500747875,0.3837028962776593,1.0089109474180318,0.5209952074067536,1.375872504579808,0.0368373880178338,-1.6093313396336726,-1.1195455633806828,0.7449094665141097,0.26249828656778185,1.279962624254277,0.2832856487003349,4.739099167069384,127,254
Broken Arrow,Oklahoma,0.32584279328107324,0.23757514288647502,0.7384884380689093,1.4305689380024804,1.0524542587083452,0.6348215847085348,0.6532542240410057,0.5209952074067536,1.758948913643658,-0.15733935221176437,-2.3889295431010753,-0.8684948213640827,0.011206080652231191,-0.09521448926838914,1.2321222807438414,-0.1421215784643399,4.944178077733657,277,255
Oakland,California,-0.2036289122844388,0.28012894287045037,-0.9983444828606182,-1.6771911885606055,-1.3230324483784697,-1.6754703488555198,0.48910496709776496,0.5209952074067536,-0.6672016770940575,-0.15733935221176437,8.330545754575711,2.1709905612991833,0.56148362004864,0.26343844985744297,-0.5975426612477566,-0.3548251920466773,4.962111239616039,45,256
Victorville,California,0.3022206413388178,0.15246754291852438,0.7604508152086729,1.6170345455962656,1.0524542587083452,0.03213673247443359,-1.3712532782589824,0.5209952074067536,-0.028740995320974655,1.0077210891658301,-0.8297331361662698,-0.20574529560249835,0.7449094665141097,0.1719192712532515,-0.35674805003606863,1.4318851620449569,5.001973977245168,224,257
Huntsville,Alabama,0.18168049918843754,-0.8754268325564661,0.990002784491408,1.3684137354712187,0.7645164760311555,0.5343741093361846,0.7079706430220872,0.5209952074067536,0.2266432773882588,-0.9340463131301614,-2.3889295431010753,1.1649551060647785,0.7449094665141097,-0.4462675613816431,3.090779706651,-0.6100695283454822,5.040501233050564,123,258
Clovis,California,0.3235236854231124,0.5127074703690742,-0.06268704581041372,0.3739304949710312,-0.17128131766971091,1.1370589615702857,-0.05805922271304271,0.5209952074067536,0.7374118228067257,0.8135443489362308,0.9243628216353862,-0.5093273364352241,0.37805777358317044,-0.1464929738480795,-0.9161949041547285,1.2191815484626194,5.07673133453319,274,259
Clarksville,Tennessee,0.2508193199106422,-0.03095400873654173,0.8022695881186338,1.6791897481275273,1.6283298240627244,1.1370589615702857,-1.4806861162211433,0.5209952074067536,0.8651039591613424,1.3960745696250285,-3.3634272974353285,-0.13855409944233774,0.7449094665141097,0.11620629062918932,1.536751364654,-0.43990663747961223,5.224180140465274,169,260
Anaheim,California,-0.08216313198325861,0.32341642906104595,-0.850023223546872,-0.5583975429978946,-0.17128131766971091,-0.721219332818193,-0.19485027016574463,0.5209952074067536,0.3543354137428755,0.4251908684770323,6.381550245907205,-0.45374189233909124,0.37805777358317044,-0.488074400719454,-0.9595446566355559,1.4318851620449569,5.336135331347265,55,261
Orange,California,0.2719469271613014,0.503903235889631,-0.402050900791967,-0.3719319354041094,-0.531203546016198,-0.5705481197596677,0.18816466270182033,0.5209952074067536,0.3543354137428755,-0.35151609244136367,9.110143958043114,-1.0645709483405514,-2.1899040769334044,-0.5749418387981052,-0.9473212544516024,1.4318851620449569,5.377385854053483,187,262
